date,product_code,product,variant,sold_quantity
2020-09-01,A4021150403,"AQ Mx NB","Plus 2",52
2020-09-01,A4021150404,"AQ Mx NB","Plus 3",75
2020-09-01,A4021150405,"AQ Mx NB",Premium,36
2020-09-01,A4118110105,"AQ Aspiron","Plus Blue",22
2020-09-01,A4118110106,"AQ Aspiron","Plus Red",9
2020-09-01,A4118110107,"AQ Aspiron","Premium Black",20
2020-09-01,A4218110201,"AQ Digit","Standard Grey",11
2020-09-01,A4218110202,"AQ Digit","Standard Blue",9
2020-09-01,A4218110203,"AQ Digit","Standard Red",11
2020-09-01,A4218110204,"AQ Digit","Plus Grey",27
2020-09-01,A4218110205,"AQ Digit","Plus Blue",40
2020-09-01,A4218110206,"AQ Digit","Plus Red",15
2020-09-01,A4218110207,"AQ Digit","Premium Black",26
2020-09-01,A4218110208,"AQ Digit","Premium Misty Green",34
2020-09-01,A4318110301,"AQ Velocity","Standard Grey",29
2020-09-01,A4319110302,"AQ Velocity","Standard Blue",38
2020-09-01,A4319110303,"AQ Velocity","Standard Red",36
2020-09-01,A4319110304,"AQ Velocity","Plus Grey",40
2020-09-01,A4319110305,"AQ Velocity","Plus Blue",23
2020-09-01,A4319110306,"AQ Velocity","Plus Red",29
2020-09-01,A4419110401,"AQ Elite","Standard Grey",9
2020-09-01,A4419110402,"AQ Elite","Standard Blue",37
2020-09-01,A4419110403,"AQ Elite","Standard Red",16
2020-09-01,A4419110404,"AQ Elite","Plus Grey",29
2020-09-01,A4419110405,"AQ Elite","Plus Blue",15
2020-09-01,A4419110406,"AQ Elite","Plus Red",9
2020-09-01,A4419110407,"AQ Elite","Premium Black",12
2020-09-01,A4419110408,"AQ Elite","Premium Misty Green",19
2020-09-01,A4519110501,"AQ Gen X","Standard Grey",31
2020-09-01,A4519110502,"AQ Gen X","Standard Blue",40
2020-09-01,A4519110503,"AQ Gen X","Standard Red",21
2020-09-01,A4520110504,"AQ Gen X","Plus Grey",22
2020-09-01,A4520110505,"AQ Gen X","Plus Blue",24
2020-09-01,A4520110506,"AQ Gen X","Plus Red",35
2020-09-01,A4520110507,"AQ Gen X","Premium Black",29
2020-09-01,A4520110508,"AQ Gen X","Premium Misty Green",28
2020-09-01,A4620110601,"AQ Gen Y","Standard Grey",31
2020-09-01,A4620110602,"AQ Gen Y","Standard Blue",10
2020-09-01,A4620110603,"AQ Gen Y","Standard Red",8
2020-09-01,A4620110604,"AQ Gen Y","Plus Grey",11
2020-09-01,A4620110605,"AQ Gen Y","Plus Blue",16
2020-09-01,A4620110606,"AQ Gen Y","Plus Red",33
2020-09-01,A4620110607,"AQ Gen Y","Premium Black",20
2020-09-01,A4620110608,"AQ Gen Y","Premium Misty Green",27
2020-09-01,A4720110701,"AQ GEN Z","Standard Grey",10
2020-09-01,A4720110702,"AQ GEN Z","Standard Blue",17
2020-09-01,A4721110703,"AQ GEN Z","Standard Red",13
2020-09-01,A4721110704,"AQ GEN Z","Plus Grey",38
2020-09-01,A4721110705,"AQ GEN Z","Plus Blue",11
2020-09-01,A4918110101,"AQ BZ 101","Standard Grey",13
2020-09-01,A4918110102,"AQ BZ 101","Standard Blue",10
2020-09-01,A4918110103,"AQ BZ 101","Premium Black",28
2020-09-01,A4918110104,"AQ BZ 101","Premium Misty Green",15
2020-09-01,A5018110201,"AQ BZ Compact","Standard Grey",17
2020-09-01,A5018110202,"AQ BZ Compact","Standard Blue",16
2020-09-01,A5018110203,"AQ BZ Compact","Standard Red",10
2020-09-01,A5018110204,"AQ BZ Compact","Plus Grey",14
2020-09-01,A5018110205,"AQ BZ Compact","Plus Blue",24
2020-09-01,A5018110206,"AQ BZ Compact","Plus Red",27
2020-09-01,A5018110207,"AQ BZ Compact","Premium Black",17
2020-09-01,A5019110208,"AQ BZ Compact","Premium Misty Green",19
2020-09-01,A5119110301,"AQ BZ Gen Y","Standard Grey",10
2020-09-01,A5119110302,"AQ BZ Gen Y","Standard Blue",24
2020-09-01,A5119110303,"AQ BZ Gen Y","Standard Red",23
2020-09-01,A5119110305,"AQ BZ Gen Y","Plus Blue",7
2020-09-01,A5119110306,"AQ BZ Gen Y","Plus Red",26
2020-09-01,A5119110307,"AQ BZ Gen Y","Premium Black",27
2020-09-01,A5119110308,"AQ BZ Gen Y","Premium Misty Green",9
2020-09-01,A5219110401,"AQ BZ Gen Z","Standard Grey",27
2020-09-01,A5219110402,"AQ BZ Gen Z","Standard Blue",20
2020-09-01,A5219110403,"AQ BZ Gen Z","Standard Red",12
2020-09-01,A5219110405,"AQ BZ Gen Z","Plus Blue",11
2020-09-01,A5219110406,"AQ BZ Gen Z","Plus Red",18
2020-09-01,A5219110407,"AQ BZ Gen Z","Premium Black",22
2020-09-01,A5220110408,"AQ BZ Gen Z","Premium Misty Green",12
2020-09-01,A5318110103,"AQ Gamer 1","Standard Black",6
2020-09-01,A5318110104,"AQ Gamer 1","Plus Firey Red",9
2020-09-01,A5318110105,"AQ Gamer 1","Plus Cool Blue",8
2020-09-01,A5318110106,"AQ Gamer 1","Plus Black",14
2020-09-01,A5318110107,"AQ Gamer 1","Premium Black",8
2020-09-01,A5318110108,"AQ Gamer 1","Premium Misty Green",17
2020-09-01,A5419110201,"AQ Gamer 2","Standard Firey Red",11
2020-09-01,A5419110202,"AQ Gamer 2","Standard Cool Blue",6
2020-09-01,A5419110203,"AQ Gamer 2","Standard Black",14
2020-09-01,A5419110204,"AQ Gamer 2","Plus Firey Red",5
2020-09-01,A5419110205,"AQ Gamer 2","Plus Cool Blue",7
2020-09-01,A5419110206,"AQ Gamer 2","Plus Black",4
2020-09-01,A5419110207,"AQ Gamer 2","Premium Black",5
2020-09-01,A5419110208,"AQ Gamer 2","Premium Misty Green",4
2020-09-01,A5519110301,"AQ Gamer 3","Standard Firey Red",3
2020-09-01,A5519110302,"AQ Gamer 3","Standard Cool Blue",13
2020-09-01,A5519110303,"AQ Gamer 3","Standard Black",4
2020-09-01,A5519110304,"AQ Gamer 3","Plus Firey Red",6
2020-09-01,A5520110305,"AQ Gamer 3","Plus Cool Blue",6
2020-09-01,A5520110306,"AQ Gamer 3","Plus Black",14
2020-09-01,A5520110307,"AQ Gamer 3","Premium Black",5
2020-09-01,A5520110308,"AQ Gamer 3","Premium Misty Green",11
2020-09-01,A5620110401,"AQ Smash 1","Standard Firey Red",8
2020-09-01,A5620110402,"AQ Smash 1","Standard Cool Blue",8
2020-09-01,A5621110403,"AQ Smash 1","Standard Black",13
2020-09-01,A5621110404,"AQ Smash 1","Plus Firey Red",15
2020-09-01,A5621110405,"AQ Smash 1","Plus Cool Blue",12
2020-09-01,A5621110406,"AQ Smash 1","Plus Black",10
2020-09-01,A5621110407,"AQ Smash 1","Premium Black",10
2020-09-01,A5621110408,"AQ Smash 1","Premium Misty Green",14
2020-09-01,A5721110501,"AQ Smash 2","Standard Firey Red",7
2020-09-01,A5721110502,"AQ Smash 2","Standard Cool Blue",13
2020-09-01,A5721110503,"AQ Smash 2","Standard Black",7
2020-09-01,A5721110504,"AQ Smash 2","Plus Firey Red",15
2020-09-01,A5721110505,"AQ Smash 2","Plus Cool Blue",6
2020-09-01,A5721110506,"AQ Smash 2","Plus Black",6
2020-09-01,A5820110101,"AQ BZ Allin1","Standard 1",27
2020-09-01,A5820110102,"AQ BZ Allin1","Standard 2",28
2020-09-01,A5820110103,"AQ BZ Allin1","Standard 3",10
2020-09-01,A5820110104,"AQ BZ Allin1","Plus 1",22
2020-09-01,A5820110105,"AQ BZ Allin1","Plus 2",19
2020-09-01,A5820110106,"AQ BZ Allin1","Plus 3",14
2020-09-01,A5820110107,"AQ BZ Allin1","Premium 1",11
2020-09-01,A5821110108,"AQ BZ Allin1","Premium 2",18
2020-09-01,A6018110101,"AQ Home Allin1","Standard 1",1
2020-09-01,A6018110102,"AQ Home Allin1","Standard 2",5
2020-09-01,A6018110103,"AQ Home Allin1","Standard 3",6
2020-09-01,A6018110104,"AQ Home Allin1","Plus 1",5
2020-09-01,A6018110105,"AQ Home Allin1","Plus 2",2
2020-09-01,A6018110106,"AQ Home Allin1","Plus 3",6
2020-09-01,A6019110107,"AQ Home Allin1","Premium 1",4
2020-09-01,A6019110108,"AQ Home Allin1","Premium 2",5
2020-09-01,A6119110201,"AQ HOME Allin1 Gen 2","Standard 1",2
2020-09-01,A6119110202,"AQ HOME Allin1 Gen 2","Standard 2",3
2020-09-01,A6119110203,"AQ HOME Allin1 Gen 2","Standard 3",4
2020-09-01,A6119110204,"AQ HOME Allin1 Gen 2","Plus 1",2
2020-09-01,A6120110205,"AQ HOME Allin1 Gen 2","Plus 2",2
2020-09-01,A6120110206,"AQ HOME Allin1 Gen 2","Plus 3",4
2020-09-01,A6218160101,"AQ Digit SSD",Standard,139
2020-09-01,A6218160102,"AQ Digit SSD",Plus,476
2020-09-01,A6219160103,"AQ Digit SSD",Premium,310
2020-09-01,A6319160201,"AQ Neuer SSD",Standard,316
2020-09-01,A6319160202,"AQ Neuer SSD",Plus,730
2020-09-01,A6319160203,"AQ Neuer SSD",Premium,911
2020-09-01,A6419160301,"AQ Clx1",Standard,799
2020-09-01,A6419160302,"AQ Clx1",Plus,204
2020-09-01,A6419160303,"AQ Clx1",Premium,1028
2020-09-01,A6519160401,"AQ Clx2",Standard,705
2020-09-01,A6520160402,"AQ Clx2",Plus,582
2020-09-01,A6520160403,"AQ Clx2",Premium,984
2020-09-01,A6620160501,"AQ Clx3",Standard,732
2020-09-01,A6720160103,"AQ Pen Drive 2 IN 1",Premium,194
2020-09-01,A6818160201,"AQ Pen Drive DRC",Standard,1697
2020-09-01,A6818160202,"AQ Pen Drive DRC",Plus,855
2020-09-01,A6819160203,"AQ Pen Drive DRC",Premium,1556
2020-09-01,A7118160101,"AQ Wi Power Dx1",Standard,528
2020-09-01,A7119160102,"AQ Wi Power Dx1",Plus,619
2020-09-01,A7119160103,"AQ Wi Power Dx1",Premium,480
2020-09-01,A7219160201,"AQ Wi Power Dx2",Standard,616
2020-09-01,A7220160202,"AQ Wi Power Dx2",Plus,96
2020-09-01,A7220160203,"AQ Wi Power Dx2",Premium,350
2020-09-01,A7321160301,"AQ Wi Power Dx3",Standard,272
2020-09-01,A7321160302,"AQ Wi Power Dx3",Plus,507
2020-09-01,A7321160303,"AQ Wi Power Dx3",Premium,190
2020-10-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,95
2020-10-01,A0118150102,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Plus,237
2020-10-01,A0118150103,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Premium,102
2020-10-01,A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus",276
2020-10-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,164
2020-10-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,97
2020-10-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,306
2020-10-01,A0320150301,"AQ Zion Saga",Standard,205
2020-10-01,A0321150302,"AQ Zion Saga",Plus,135
2020-10-01,A0321150303,"AQ Zion Saga",Premium,249
2020-10-01,A0418150103,"AQ Mforce Gen X","Standard 3",220
2020-10-01,A0418150104,"AQ Mforce Gen X","Plus 1",226
2020-10-01,A0418150105,"AQ Mforce Gen X","Plus 2",248
2020-10-01,A0418150106,"AQ Mforce Gen X","Plus 3",75
2020-10-01,A0519150201,"AQ Mforce Gen Y","Standard 1",82
2020-10-01,A0519150202,"AQ Mforce Gen Y","Standard 2",49
2020-10-01,A0519150203,"AQ Mforce Gen Y","Standard 3",193
2020-10-01,A0519150204,"AQ Mforce Gen Y","Plus 1",193
2020-10-01,A0519150205,"AQ Mforce Gen Y","Plus 2",216
2020-10-01,A0519150206,"AQ Mforce Gen Y","Plus 3",136
2020-10-01,A0519150207,"AQ Mforce Gen Y","Premium 1",123
2020-10-01,A0519150208,"AQ Mforce Gen Y","Premium 2",219
2020-10-01,A0619150301,"AQ Mforce Gen Z","Standard 1",45
2020-10-01,A0619150302,"AQ Mforce Gen Z","Standard 2",29
2020-10-01,A0620150303,"AQ Mforce Gen Z","Standard 3",93
2020-10-01,A0620150304,"AQ Mforce Gen Z","Plus 1",242
2020-10-01,A0620150305,"AQ Mforce Gen Z","Plus 2",231
2020-10-01,A0620150306,"AQ Mforce Gen Z","Plus 3",231
2020-10-01,A0621150307,"AQ Mforce Gen Z","Premium 1",47
2020-10-01,A0621150308,"AQ Mforce Gen Z","Premium 2",235
2020-10-01,A0721150401,"AQ GT 21",Standard,218
2020-10-01,A0721150402,"AQ GT 21","Plus 1",43
2020-10-01,A0721150403,"AQ GT 21","Plus 2",184
2020-10-01,A0721150404,"AQ GT 21",Premium,64
2020-10-01,A0821150501,"AQ Marquee P3",Standard,174
2020-10-01,A0821150502,"AQ Marquee P3","Plus 1",237
2020-10-01,A0821150503,"AQ Marquee P3","Plus 2",237
2020-10-01,A0821150504,"AQ Marquee P3",Premium,249
2020-10-01,A0921150601,"AQ Marquee P4",Standard,217
2020-10-01,A1018150101,"AQ 5000 Series Electron 9 5900X Desktop Processor",Standard,132
2020-10-01,A1018150102,"AQ 5000 Series Electron 9 5900X Desktop Processor",Plus,226
2020-10-01,A1018150103,"AQ 5000 Series Electron 9 5900X Desktop Processor",Premium,196
2020-10-01,A1118150201,"AQ 5000 Series Electron 8 5900X Desktop Processor",Standard,138
2020-10-01,A1118150202,"AQ 5000 Series Electron 8 5900X Desktop Processor",Plus,108
2020-10-01,A1119150203,"AQ 5000 Series Electron 8 5900X Desktop Processor",Premium,220
2020-10-01,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,97
2020-10-01,A1219150302,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Plus,258
2020-10-01,A1219150303,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Premium,83
2020-10-01,A1319150401,"AQ Electron 5 3600 Desktop Processor",Standard,132
2020-10-01,A1320150402,"AQ Electron 5 3600 Desktop Processor",Plus,55
2020-10-01,A1320150403,"AQ Electron 5 3600 Desktop Processor",Premium,136
2020-10-01,A1420150501,"AQ Electron 4 3600 Desktop Processor",Standard,97
2020-10-01,A1420150502,"AQ Electron 4 3600 Desktop Processor",Plus,41
2020-10-01,A1421150503,"AQ Electron 4 3600 Desktop Processor",Premium,136
2020-10-01,A1521150601,"AQ Electron 3 3600 Desktop Processor",Standard,99
2020-10-01,A1521150602,"AQ Electron 3 3600 Desktop Processor",Plus,251
2020-10-01,A1618150101,"AQ MB Elite",Standard,104
2020-10-01,A1618150102,"AQ MB Elite","Plus 1",146
2020-10-01,A1618150103,"AQ MB Elite","Plus 2",137
2020-10-01,A1618150104,"AQ MB Elite",Premium,94
2020-10-01,A1718150201,"AQ MB Crossx",Standard,158
2020-10-01,A1718150202,"AQ MB Crossx","Plus 1",25
2020-10-01,A1718150203,"AQ MB Crossx","Plus 2",76
2020-10-01,A1718150204,"AQ MB Crossx",Premium,66
2020-10-01,A1819150301,"AQ MB Crossx 2",Standard,46
2020-10-01,A1819150302,"AQ MB Crossx 2","Plus 1",127
2020-10-01,A1819150303,"AQ MB Crossx 2","Plus 2",153
2020-10-01,A1819150304,"AQ MB Crossx 2",Premium,167
2020-10-01,A1919150401,"AQ MB Lito",Standard,108
2020-10-01,A1919150402,"AQ MB Lito","Plus 1",88
2020-10-01,A1919150403,"AQ MB Lito","Plus 2",79
2020-10-01,A1920150404,"AQ MB Lito",Premium,117
2020-10-01,A2020150501,"AQ MB Lito 2",Standard,26
2020-10-01,A2020150502,"AQ MB Lito 2","Plus 1",168
